Feature,Original InfoSecNexus feature name,Component responsible,Dependencies,Security considerations,Status,Tests,Evidence,Remaining limitations
Elementor full width,Elementor Full Width Template,Theme,Elementor optional,No risk,Implemented,Manual pending,template-elementor-full-width.php,None
Elementor canvas,Elementor Canvas Template,Theme,Elementor optional,No risk,Implemented,Manual pending,template-elementor-canvas.php,None
Conditional engine,Rules Engine,Toolkit,None,Sanitized rules,Implemented,PHP syntax pending,class-conditions.php,Visual UI deferred
Content block CPT,Content Blocks,Toolkit,Gutenberg,Capability checks,Implemented,PHP syntax pending,class-content-blocks.php,None
Elementor editing blocks,Elementor Editable Blocks,Toolkit,Elementor optional,Legal install only,In Progress,Manual pending,class-content-blocks.php,Template linking UI deferred
Scheduling,Block Scheduler,Toolkit,None,Date parsing,Implemented,PHP syntax pending,class-content-blocks.php,None
Multiple sidebars,Conditional Sidebars,Toolkit,None,JSON condition validation,Implemented,Manual pending,class-sidebars.php,Visual UI deferred
Elementor header location,Elementor Header Location,Theme,Elementor,No duplicate fallback,Implemented,Manual pending,header.php,None
Elementor footer location,Elementor Footer Location,Theme,Elementor,No duplicate fallback,Implemented,Manual pending,footer.php,None
Elementor single location,Elementor Single Location,Theme,Elementor,No duplicate content,Implemented,Manual pending,single.php,None
Elementor archive location,Elementor Archive Location,Theme,Elementor,No duplicate loop,Implemented,Manual pending,archive.php,None
Featured Story widget,Featured Story Widget,Toolkit Elementor,Elementor Free,Safe WP_Query,Implemented,Elementor pending,widgets.php,None
Posts Grid widget,Posts Grid Widget,Toolkit Elementor,Elementor Free,Safe WP_Query,Implemented,Elementor pending,widgets.php,None
Category Posts widget,Category Posts Widget,Toolkit Elementor,Elementor Free,Safe WP_Query,Implemented,Elementor pending,widgets.php,None
News Ticker widget,News Ticker Widget,Toolkit Elementor,Elementor Free,Safe WP_Query,Implemented,Elementor pending,widgets.php,None
Critical CVE List widget,Critical CVE Widget,Toolkit Elementor,Elementor Free,Safe WP_Query,Implemented,Elementor pending,widgets.php,None
Latest Updates widget,Latest Updates Widget,Toolkit Elementor,Elementor Free,Safe WP_Query,Implemented,Elementor pending,widgets.php,None
Author Box widget,Author Box Widget,Toolkit Elementor,Elementor Free,Escaped author meta,Implemented,Elementor pending,widgets.php,None
Related Posts widget,Related Posts Widget,Toolkit Elementor,Elementor Free,Safe WP_Query,Implemented,Elementor pending,widgets.php,None
TOC widget,TOC Widget,Toolkit Elementor,Elementor Free,Escaped output,Implemented,Elementor pending,widgets.php,None
Search widget,Search Widget,Toolkit Elementor,Elementor Free,Core form,Implemented,Elementor pending,widgets.php,None
Breadcrumbs widget,Breadcrumbs Widget,Toolkit Elementor,Elementor Free,Delegates safely,Implemented,Elementor pending,widgets.php,None
Mega menu,Mega Menu,Toolkit,None,Focus and Escape needed,Deferred,Not run,docs/ROADMAP.md,Deferred
Menu icons labels badges,Menu Enhancements,Toolkit,None,Sanitize menu meta,Deferred,Not run,docs/ROADMAP.md,Deferred
Keyboard navigation,Menu Keyboard Navigation,Theme/Toolkit,None,Focus management,In Progress,Playwright pending,assets/js/theme.js,Advanced menus deferred
Advanced search filters,Filtered Search,Toolkit REST,None,Publish-only bounded queries,In Progress,REST pending,class-search.php,Taxonomy UI deferred
Cookie consent,Cookie Preference Banner,Toolkit,None,No legal claim,Implemented,Manual pending,class-cookie-consent.php,None
Newsletter,Newsletter Capture,Toolkit REST,None,Rate limit and honeypot,Implemented,REST pending,class-newsletter.php,No external provider integration
Custom snippets,Safe Snippets,Toolkit,unfiltered_html,No PHP/script tags,Implemented,Manual pending,class-snippets.php,No syntax validation
Maintenance mode,Maintenance Page,Toolkit,None,Admins bypass,Implemented,Manual pending,class-maintenance.php,None
Woo archive layouts,Woo Product Layouts,Theme/Woo,None,Woo APIs only,Implemented,Manual pending,woocommerce.php,Advanced controls deferred
Off-canvas filters,Woo Filter Drawer,Toolkit,WooCommerce,No unbounded queries,Deferred,Not run,docs/ROADMAP.md,Deferred
AJAX add to cart,Woo AJAX Cart,Theme/Woo,WooCommerce,Woo APIs,Implemented,Manual pending,Woo core support,Presentation only
Quick view,Woo Quick View,Toolkit,WooCommerce,Nonce required,Deferred,Not run,docs/ROADMAP.md,Deferred
Mini cart,Woo Mini Cart,Toolkit,WooCommerce,Woo APIs,Implemented,Manual pending,class-woocommerce.php,None
Wishlist,Woo Wishlist,Toolkit,WooCommerce,User/session storage needed,Deferred,Not run,docs/ROADMAP.md,Deferred
Comparison,Woo Compare,Toolkit,WooCommerce,User/session storage needed,Deferred,Not run,docs/ROADMAP.md,Deferred
Variation swatches,Woo Swatches,Toolkit,WooCommerce,Sanitize attributes,Deferred,Not run,docs/ROADMAP.md,Deferred
Product badges,Woo Product Badges,Toolkit,WooCommerce,Escaped output,Implemented,Manual pending,class-woocommerce.php,None
Recently viewed,Woo Recently Viewed,Toolkit,WooCommerce,Bounded httponly cookie,Implemented,Manual pending,class-woocommerce.php,None
Advanced reviews,Woo Review Enhancements,Toolkit,WooCommerce,Upload validation,Deferred,Not run,docs/ROADMAP.md,Deferred
Security standards,Secure Coding Baseline,Theme/Toolkit,None,Nonces capabilities escaping,Implemented,PHPCS pending,source tree,Full audit pending
Performance,Conditional Loading,Theme/Toolkit,None,No unnecessary queries,Implemented,Lighthouse pending,assets and modules,Optimization pass pending
Accessibility,WCAG Foundation,Theme/Toolkit,None,Keyboard labels focus,Implemented,Axe pending,templates and CSS,Full audit pending
Release packaging,Installable ZIPs,Tools,None,Excludes secrets,Tested,Clean ZIP install passed,dist/SHA256SUMS,None
